Temp(°C),Temp(°F),Water Range(cm),Water Level,Turbidity(Voltage),Water Purity,pH level,target column
38.56,101.41,28,1,3.59,1,8.11,0
38.56,101.41,28,1,3.57,1,8.29,0
38.44,101.19,28,1,3.61,1,8.46,0
38.44,101.19,28,1,3.66,1,8.36,0
38.44,101.19,27,1,3.6,1,8.25,0
57.25,135.05,28,1,3.5,1,8.26,0
55.81,132.46,28,1,3.55,1,8.21,0
55.75,132.35,28,1,3.52,1,8.22,0
55.5,131.9,28,1,3.5,1,8.18,0
55.13,131.22,28,1,3.53,1,8.03,0
54.56,130.21,28,1,3.5,1,8.28,0
53.81,128.86,28,1,3.5,1,8.29,0
53.75,128.75,28,1,3.53,1,8.34,0
53.19,127.74,28,1,3.52,1,8.24,0
53.0,127.4,28,1,3.56,1,8.36,0
52.94,127.29,28,1,3.55,1,8.26,0
52.44,126.39,28,1,3.52,1,8.23,0
52.38,126.27,28,1,3.51,1,8.34,0
52.31,126.16,28,1,3.55,1,8.3,0
52.13,125.82,28,1,3.55,1,8.38,0
51.94,125.49,28,1,3.55,1,8.3,0
51.81,125.26,28,1,3.59,1,7.96,0
51.63,124.92,28,1,3.52,1,8.19,0
51.56,124.81,28,1,3.56,1,8.23,0
51.44,124.59,28,1,3.51,1,8.06,0
50.81,123.46,28,1,3.5,1,8.39,0
50.63,123.12,28,1,3.6,1,8.23,0
50.56,123.01,28,1,3.59,1,8.24,0
50.56,123.01,28,1,3.58,1,8.22,0
50.44,122.79,28,1,3.55,1,8.35,0
50.44,122.79,28,1,3.52,1,8.26,0
50.31,122.56,28,1,3.59,1,8.28,0
50.31,122.56,28,1,3.61,1,8.26,0
50.13,122.22,28,1,3.58,1,8.23,0
50.06,122.11,28,1,3.55,1,8.23,0
50.0,122.0,28,1,3.56,1,8.15,0
49.94,121.89,28,1,3.53,1,8.27,0
49.88,121.77,28,1,3.63,1,8.29,0
49.69,121.44,28,1,3.56,1,7.74,0
49.75,121.55,28,1,3.5,1,8.19,0
49.63,121.32,28,1,3.6,1,8.14,0
49.5,121.1,28,1,3.51,1,8.32,0
49.44,120.99,28,1,3.52,1,8.35,0
49.31,120.76,28,1,3.57,1,8.37,0
49.25,120.65,28,1,3.55,1,8.24,0
49.19,120.54,28,1,3.53,1,8.31,0
49.06,120.31,28,1,3.55,1,8.36,0
49.06,120.31,28,1,3.58,1,8.25,0
49.0,120.2,28,1,3.55,1,8.37,0
49.0,120.2,28,1,3.56,1,8.27,0
48.94,120.09,28,1,3.51,1,8.37,0
48.94,120.09,28,1,3.51,1,8.15,0
48.81,119.86,28,1,3.59,1,8.28,0
48.69,119.64,28,1,3.64,1,8.16,0
48.69,119.64,28,1,3.55,1,8.36,0
48.63,119.52,28,1,3.55,1,8.11,0
48.56,119.41,28,1,3.55,1,8.37,0
48.5,119.3,28,1,3.55,1,8.28,0
48.44,119.19,28,1,3.53,1,8.35,0
48.31,118.96,28,1,3.6,1,8.42,0
46.44,115.59,28,1,3.56,1,8.42,0
41.56,106.81,28,1,3.59,1,8.09,0
33.56,92.41,28,1,3.56,1,8.37,0
33.0,91.4,28,1,3.54,1,8.39,0
31.69,89.04,28,1,3.61,1,8.3,0
40.0,104.0,28,1,3.55,1,7.94,0
58.56,137.41,28,1,3.56,1,8.28,0
68.75,155.75,28,1,3.54,1,8.13,0
70.31,158.56,28,1,3.61,1,8.31,0
71.62,160.93,28,1,3.52,1,8.23,0
70.0,158.0,28,1,3.55,1,8.36,0
69.75,157.55,28,1,3.6,1,8.31,0
69.69,157.44,28,1,3.66,1,8.06,0
69.37,156.87,27,1,3.63,1,8.33,0
69.31,156.76,28,1,3.64,1,8.19,0
69.19,156.54,28,1,3.61,1,8.36,0
69.12,156.43,28,1,3.55,1,8.26,0
68.69,155.64,28,1,3.64,1,8.33,0
68.37,155.07,28,1,3.58,1,8.2,0
68.31,154.96,28,1,3.59,1,8.05,0
68.19,154.74,28,1,3.59,1,8.27,0
67.94,154.29,28,1,3.52,1,8.34,0
67.87,154.18,28,1,3.56,1,8.32,0
67.81,154.06,28,1,3.53,1,8.31,0
67.75,153.95,28,1,3.61,1,8.27,0
67.69,153.84,28,1,3.53,1,8.39,0
67.44,153.39,28,1,3.56,1,8.11,0
67.37,153.27,28,1,3.59,1,8.37,0
66.69,152.04,28,1,3.58,1,8.24,0
66.62,151.93,28,1,3.52,1,8.28,0
66.5,151.7,28,1,3.57,1,8.28,0
66.44,151.59,28,1,3.63,1,8.26,0
66.31,151.36,28,1,3.55,1,8.17,0
66.12,151.02,28,1,3.6,1,8.31,0
66.0,150.8,28,1,3.6,1,835.0,0
65.75,150.35,28,1,3.59,1,8.33,0
65.62,150.12,28,1,3.58,1,8.28,0
65.56,150.01,28,1,3.54,1,8.33,0
65.44,149.79,28,1,3.59,1,8.01,0
65.25,149.45,28,1,3.6,1,8.35,0
65.12,149.22,28,1,3.65,1,8.31,0
65.0,149.0,28,1,3.61,1,8.23,0
64.94,148.89,28,1,3.67,1,8.24,0
64.81,148.66,28,1,3.53,1,8.24,0
64.75,148.55,28,1,3.65,1,8.23,0
64.44,147.99,28,1,3.56,1,7.78,0
38.69,101.64,27,1,3.57,2,8.39,0
38.69,101.64,28,1,3.44,2,8.25,0
38.69,101.64,28,1,3.46,2,8.37,0
38.69,101.64,27,1,3.33,2,8.31,0
38.63,101.53,27,1,3.34,2,8.36,0
38.63,101.53,27,1,3.39,2,8.19,0
38.56,101.41,28,1,3.31,2,8.33,0
38.56,101.41,28,1,3.35,2,8.22,0
38.56,101.41,28,1,3.48,2,8.02,0
38.56,101.41,28,1,3.42,2,8.2,0
38.5,101.3,28,1,3.28,2,8.32,0
38.5,101.3,28,1,3.44,2,8.27,0
38.44,101.19,28,1,3.45,2,8.03,0
38.38,101.07,28,1,3.37,2,8.24,0
38.38,101.07,28,1,0.77,2,8.21,0
38.38,101.07,27,1,1.01,2,8.28,0
38.38,101.07,28,1,1.21,2,8.31,0
38.38,101.07,28,1,1.29,2,8.27,0
38.31,100.96,27,1,1.43,2,8.14,0
38.31,100.96,28,1,1.53,2,8.22,0
38.38,101.07,27,1,1.75,2,8.21,0
38.38,101.07,28,1,2.19,2,8.36,0
38.25,100.85,27,1,2.15,2,8.03,0
38.25,100.85,27,1,2.22,2,8.42,0
38.31,100.96,28,1,2.34,2,8.4,0
38.25,100.85,28,1,2.7,2,8.33,0
37.31,99.16,28,1,2.62,2,8.23,0
35.94,96.69,28,1,2.78,2,8.17,0
35.0,95.0,28,1,2.72,2,7.87,0
34.06,93.31,28,1,2.55,2,8.09,0
33.31,91.96,28,1,2.84,2,8.41,0
32.56,90.61,28,1,2.76,2,8.18,0
32.06,89.71,28,1,2.84,2,8.28,0
31.44,88.59,28,1,2.89,2,8.35,0
31.0,87.8,28,1,2.89,2,8.39,0
30.56,87.01,28,1,2.78,2,8.28,0
30.12,86.22,28,1,2.85,2,8.24,0
29.75,85.55,28,1,3.03,2,8.14,0
29.37,84.87,28,1,3.07,2,8.22,0
29.06,84.31,28,1,3.03,2,8.25,0
30.19,86.34,28,1,2.96,2,8.19,0
50.75,123.35,28,1,2.88,2,8.36,0
58.31,136.96,28,1,3.2,2,8.31,0
61.81,143.26,28,1,2.96,2,8.25,0
63.81,146.86,28,1,3.12,2,8.22,0
65.12,149.22,28,1,3.1,2,8.32,0
65.94,150.69,28,1,2.97,2,8.32,0
66.44,151.59,28,1,2.98,2,8.3,0
66.62,151.93,28,1,2.92,2,8.34,0
66.75,152.15,28,1,3.25,2,8.19,0
66.81,152.26,28,1,3.09,2,8.25,0
66.87,152.37,28,1,3.12,2,8.3,0
66.81,152.26,28,1,3.12,2,8.24,0
66.69,152.04,28,1,3.05,2,8.3,0
66.62,151.93,28,1,3.29,2,8.31,0
66.44,151.59,28,1,3.22,2,8.19,0
66.31,151.36,28,1,3.31,2,8.36,0
66.31,151.36,28,1,3.05,2,8.23,0
66.19,151.14,28,1,3.07,2,8.34,0
66.06,150.91,28,1,3.22,2,8.37,0
65.94,150.69,28,1,3.05,2,8.37,0
65.81,150.46,28,1,3.01,2,8.28,0
65.75,150.35,28,1,3.01,2,8.22,0
65.62,150.12,28,1,3.12,2,8.28,0
65.5,149.9,28,1,3.09,2,8.23,0
65.44,149.79,28,1,3.14,2,8.21,0
65.37,149.68,28,1,3.23,2,8.27,0
65.25,149.45,28,1,3.12,2,8.32,0
65.12,149.22,28,1,2.98,2,8.42,0
65.06,149.11,28,1,3.32,2,8.09,0
65.0,149.0,28,1,3.02,2,8.41,0
64.87,148.77,28,1,3.16,2,8.38,0
64.75,148.55,28,1,3.28,2,8.4,0
64.62,148.32,28,1,3.28,2,8.27,0
64.56,148.21,28,1,3.04,2,8.16,0
64.5,148.1,28,1,3.23,2,8.24,0
64.37,147.87,28,1,3.36,2,8.25,0
64.31,147.76,28,1,3.19,2,8.21,0
64.19,147.54,28,1,3.07,2,8.34,0
64.12,147.43,28,1,3.24,2,8.16,0
64.0,147.2,28,1,3.33,2,8.15,0
63.94,147.09,28,1,3.03,2,8.17,0
63.88,146.97,28,1,3.24,2,8.25,0
63.69,146.64,28,1,3.01,2,8.29,0
63.69,146.64,28,1,3.09,2,8.16,0
63.56,146.41,28,1,3.02,2,8.24,0
63.5,146.3,28,1,3.05,2,8.24,0
63.44,146.19,28,1,3.15,2,8.35,0
63.38,146.07,28,1,3.3,2,8.12,0
63.25,145.85,28,1,3.4,2,8.35,0
63.19,145.74,28,1,3.13,2,8.32,0
63.06,145.51,28,1,3.08,2,8.28,0
63.0,145.4,28,1,3.09,2,8.34,0
62.94,145.29,28,1,3.26,2,8.21,0
62.81,145.06,28,1,3.24,2,8.2,0
62.75,144.95,28,1,3.41,2,7.91,0
62.69,144.84,28,1,3.33,2,8.34,0
62.56,144.61,28,1,3.32,2,8.35,0
62.5,144.5,28,1,3.19,2,8.31,0
62.44,144.39,28,1,3.2,2,8.45,0
62.31,144.16,28,1,3.22,2,8.33,0
62.25,144.05,28,1,3.37,2,8.36,0
62.19,143.94,28,1,3.35,2,8.3,0
62.13,143.82,28,1,3.11,2,8.32,0
62.0,143.6,28,1,3.2,2,8.18,0
62.0,143.6,28,1,3.15,2,8.27,0
61.88,143.37,28,1,3.19,2,8.2,0
61.81,143.26,28,1,3.31,2,8.3,0
61.69,143.04,28,1,3.41,2,8.32,0
61.69,143.04,28,1,3.38,2,8.31,0
61.63,142.93,28,1,3.22,2,8.19,0
61.56,142.81,28,1,3.19,2,8.3,0
61.5,142.7,28,1,3.36,2,8.26,0
61.44,142.59,28,1,3.37,2,8.34,0
61.31,142.36,28,1,3.26,2,8.28,0
61.31,142.36,28,1,3.09,2,8.24,0
61.19,142.14,28,1,3.4,2,8.37,0
61.13,142.02,28,1,3.39,2,8.24,0
61.06,141.91,28,1,3.27,2,8.2,0
61.0,141.8,27,1,3.34,2,8.26,0
60.94,141.69,28,1,3.17,2,8.28,0
60.81,141.46,28,1,3.48,2,8.24,0
60.75,141.35,28,1,3.41,2,8.34,0
60.69,141.24,28,1,3.13,2,8.31,0
60.63,141.12,28,1,3.39,2,8.2,0
60.5,140.9,28,1,3.33,2,8.31,0
60.44,140.79,28,1,3.43,2,8.37,0
60.38,140.68,28,1,3.35,2,8.28,0
60.31,140.56,28,1,3.43,2,8.26,0
60.25,140.45,28,1,3.26,2,8.31,0
60.19,140.34,28,1,3.36,2,8.32,0
60.13,140.22,28,1,3.24,2,8.32,0
