TIME,Temp(°C),Temp(°F),Water Range(cm),Water Level,Turbidity(Voltage),Water Purity,pH level,target column
37:08.3,38.56,101.41,28,Low,3.59,Little cloudy,8.11,Impure
37:22.2,38.56,101.41,28,Low,3.57,Little cloudy,8.29,Impure
37:50.1,38.44,101.19,28,Low,3.61,Little cloudy,8.46,Impure
37:54.7,38.44,101.19,28,Low,3.66,Little cloudy,8.36,Impure
37:59.4,38.44,101.19,27,Low,3.6,Little cloudy,8.25,Impure
51:05.7,57.25,135.05,28,Low,3.5,Little cloudy,8.26,Impure
53:11.3,55.81,132.46,28,Low,3.55,Little cloudy,8.21,Impure
53:20.6,55.75,132.35,28,Low,3.52,Little cloudy,8.22,Impure
53:43.8,55.5,131.9,28,Low,3.5,Little cloudy,8.18,Impure
54:21.1,55.13,131.22,28,Low,3.53,Little cloudy,8.03,Impure
55:16.9,54.56,130.21,28,Low,3.5,Little cloudy,8.28,Impure
56:26.6,53.81,128.86,28,Low,3.5,Little cloudy,8.29,Impure
56:31.3,53.75,128.75,28,Low,3.53,Little cloudy,8.34,Impure
57:31.8,53.19,127.74,28,Low,3.52,Little cloudy,8.24,Impure
57:55.0,53,127.4,28,Low,3.56,Little cloudy,8.36,Impure
57:59.7,52.94,127.29,28,Low,3.55,Little cloudy,8.26,Impure
58:46.2,52.44,126.39,28,Low,3.52,Little cloudy,8.23,Impure
58:55.5,52.38,126.27,28,Low,3.51,Little cloudy,8.34,Impure
59:00.1,52.31,126.16,28,Low,3.55,Little cloudy,8.3,Impure
59:09.4,52.13,125.82,28,Low,3.55,Little cloudy,8.38,Impure
59:32.7,51.94,125.49,28,Low,3.55,Little cloudy,8.3,Impure
59:46.6,51.81,125.26,28,Low,3.59,Little cloudy,7.96,Impure
00:05.2,51.63,124.92,28,Low,3.52,Little cloudy,8.19,Impure
00:09.9,51.56,124.81,28,Low,3.56,Little cloudy,8.23,Impure
00:28.5,51.44,124.59,28,Low,3.51,Little cloudy,8.06,Impure
01:47.6,50.81,123.46,28,Low,3.5,Little cloudy,8.39,Impure
02:06.2,50.63,123.12,28,Low,3.6,Little cloudy,8.23,Impure
02:10.8,50.56,123.01,28,Low,3.59,Little cloudy,8.24,Impure
02:15.5,50.56,123.01,28,Low,3.58,Little cloudy,8.22,Impure
02:24.8,50.44,122.79,28,Low,3.55,Little cloudy,8.35,Impure
02:34.1,50.44,122.79,28,Low,3.52,Little cloudy,8.26,Impure
